Province,2017-18 population,Health spending (operational US$),Health spending (capital US$),Health spending (total US$),Health spending (per capita US$),Number of Students enrolled in Government Education Schools 2017-18,Education spending (operational US$),Education spending (capital US$),General education spending (total US$),General education spending (per capita US$),Health ODA (on-budget commitments),"Health ODA (on-budget commitments, per capita US$)",Health ODA (off-budget disbursements),"Health ODA (off-budget disbursements, per capita US$)",Education ODA (on-budget commitments),"Education ODA (on-budget commitments, per capita US$)",Education ODA (off-budget disbursements),"Education ODA (off-budget disbursements, per capita US$)"
Badakhshan,982835.00,486266.00,451734.00,938000.00,1.00,328950.00,19654084.00,1192411.00,20846495.00,63.00,4371231.00,4.40,5879255.00,6.00,1239884.00,3.80,495053.00,1.50
Badghis,512518.00,124187.00,207968.00,332155.00,1.00,123259.00,5433667.00,532922.00,5966589.00,48.00,1652552.00,3.20,2424588.00,4.70,2592480.00,21.00,355620.00,2.90
Baghlan,943394.00,746254.00,1709650.00,2455904.00,3.00,305695.00,17939378.00,2262782.00,20202160.00,66.00,1400469.00,1.50,3409728.00,3.60,327642.00,1.10,495053.00,1.60
Balkh,1382155.00,4491447.00,1330860.00,5822307.00,4.00,510583.00,25454942.00,2256442.00,27711384.00,54.00,2118735.00,1.50,8777725.00,6.40,810860.00,1.60,702146.00,1.40
Bamyan,462144.00,146206.00,695967.00,842173.00,2.00,131659.00,7360585.00,872061.00,8232646.00,63.00,2824593.00,6.10,7443046.00,16.10,126379.00,1.00,1190161.00,9.00
Daykundi,475848.00,144957.00,1307745.00,1452702.00,3.00,162224.00,6724918.00,2064042.00,8788960.00,54.00,1840282.00,3.90,3232153.00,6.80,598178.00,3.70,339487.00,2.10
Farah,524657.00,252682.00,985089.00,1237771.00,2.00,106684.00,6037149.00,632919.00,6670068.00,63.00,1894162.00,3.60,31150.00,0.10,1896843.00,17.80,0.00,0.00
Faryab,1032765.00,445555.00,1261367.00,1706922.00,2.00,288034.00,13862196.00,1051439.00,14913635.00,52.00,1377187.00,1.30,194675.00,0.20,1623258.00,5.60,2500000.00,8.70
Ghazni,1270192.00,252507.00,1164129.00,1416636.00,1.00,353874.00,14555475.00,2743731.00,17299206.00,49.00,3873187.00,3.00,123515.00,0.10,1232814.00,3.50,0.00,0.00
Ghor,713158.00,756020.00,1586336.00,2342356.00,3.00,191753.00,10080386.00,1510240.00,11590626.00,60.00,1343529.00,1.90,3826638.00,5.40,512597.00,2.70,339486.00,1.80
Helmand,955970.00,675918.00,1026761.00,1702679.00,2.00,153399.00,6062404.00,704250.00,6766654.00,44.00,1062827.00,1.10,2404826.00,2.50,598178.00,3.90,0.00,0.00
Herat,1967180.00,2665009.00,2903898.00,5568907.00,3.00,711189.00,32620181.00,2824600.00,35444781.00,50.00,2796306.00,1.40,1481978.00,0.80,341435.00,0.50,1192980.00,1.70
Jawzjan,559691.00,1385722.00,810069.00,2195791.00,4.00,185602.00,10932556.00,511922.00,11444478.00,62.00,1377490.00,2.50,905191.00,1.60,328077.00,1.80,0.00,0.00
Kabul,4679648.00,3196441.00,769963.00,3966404.00,1.00,1393997.00,16184301.00,2767589.00,18951890.00,14.00,3620595.00,0.80,18003185.00,3.80,695140.00,0.50,13277602.00,9.50
Kandahar,1279520.00,1306698.00,1723441.00,3030139.00,2.00,214208.00,11516824.00,404757.00,11921581.00,56.00,1673497.00,1.30,5274306.00,4.10,350662.00,1.60,993013.00,4.60
Kapisa,455574.00,894567.00,488085.00,1382652.00,3.00,129163.00,9221832.00,1415158.00,10636990.00,82.00,1320055.00,2.90,3576.00,0.00,44309.00,0.30,306963.00,2.40
Khost,593691.00,535848.00,958149.00,1493997.00,3.00,282180.00,10467190.00,109062.00,10576252.00,37.00,2215653.00,3.70,135875.00,0.20,605055.00,2.10,0.00,0.00
Kunarha,465706.00,208592.00,220530.00,429122.00,1.00,157551.00,10339961.00,1615623.00,11955584.00,76.00,1764978.00,3.80,302028.00,0.60,638561.00,4.10,0.00,0.00
Kunduz,1049249.00,1545632.00,1586677.00,3132309.00,3.00,325085.00,13394127.00,1707522.00,15101649.00,46.00,1010142.00,1.00,0.00,0.00,30951.00,0.10,0.00,0.00
Laghman,460352.00,216262.00,1224457.00,1440719.00,3.00,175293.00,9956309.00,958202.00,10914511.00,62.00,1757853.00,3.80,376974.00,0.80,51185.00,0.30,34194.00,0.20
Logar,405352.00,204316.00,485291.00,689607.00,2.00,123965.00,6933974.00,538014.00,7471988.00,60.00,1773959.00,4.40,0.00,0.00,925882.00,7.50,0.00,0.00
Nangarhar,1573973.00,1728537.00,2854342.00,4582879.00,3.00,677209.00,32641031.00,3865837.00,36506868.00,54.00,3008130.00,1.90,679593.00,0.40,341435.00,0.50,1088240.00,1.60
Nimroz,170790.00,155404.00,1977107.00,2132511.00,12.00,61395.00,3584959.00,573148.00,4158107.00,68.00,2107289.00,12.30,0.00,0.00,215471.00,3.50,271000.00,4.40
Nooristan,152845.00,103096.00,1148775.00,1251871.00,8.00,38848.00,3364900.00,230588.00,3595488.00,93.00,1052739.00,6.90,178559.00,1.20,690636.00,17.80,0.00,0.00
Paktya,570534.00,192192.00,774241.00,966433.00,2.00,176833.00,8325468.00,752268.00,9077736.00,51.00,6702267.00,11.70,299971.00,0.50,215471.00,1.20,355620.00,2.00
Paktika,449116.00,128492.00,169886.00,298378.00,1.00,129981.00,5644102.00,2647497.00,8291599.00,64.00,2926483.00,6.50,124508.00,0.30,427016.00,3.30,0.00,0.00
Panjsher,158548.00,2776055.00,1000813.00,3776868.00,24.00,35868.00,4694441.00,680456.00,5374897.00,150.00,1114955.00,7.00,3.00,0.00,1082580.00,30.20,0.00,0.00
Parwan,687243.00,1254460.00,1923635.00,3178095.00,5.00,189102.00,14958214.00,2180778.00,17138992.00,91.00,1691662.00,2.50,5021.00,0.00,40329.00,0.20,306963.00,1.60
Samangan,401134.00,699330.00,1272297.00,1971627.00,5.00,109945.00,5667826.00,714959.00,6382785.00,58.00,1507162.00,3.80,0.00,0.00,1161996.00,10.60,0.00,0.00
Sar-E-Pul,578639.00,831147.00,1770412.00,2601559.00,4.00,148440.00,7577204.00,657522.00,8234726.00,55.00,877376.00,1.50,813968.00,1.40,341435.00,2.30,0.00,0.00
Takhar,1017575.00,893154.00,1227602.00,2120756.00,2.00,354104.00,15841715.00,2563224.00,18404939.00,52.00,1552853.00,1.50,1235027.00,1.20,341435.00,1.00,56445.00,0.20
Uruzgan,362253.00,150758.00,530552.00,681310.00,2.00,62687.00,2725422.00,615468.00,3340890.00,53.00,1716000.00,4.70,2404826.00,6.60,605055.00,9.70,0.00,0.00
Wardak,615992.00,194436.00,212612.00,407048.00,1.00,147031.00,10215793.00,775937.00,10991730.00,75.00,1801872.00,2.90,789993.00,1.30,341435.00,2.30,0.00,0.00
Zabul,314325.00,505512.00,1186829.00,1692341.00,5.00,47513.00,2709384.00,1086762.00,3796146.00,80.00,1209007.00,3.80,0.00,0.00,512597.00,10.80,0.00,0.00
Total Sub-national,28224566.00,30293657.00,38947269.00,69240926.00,2.00,8533303.00,382682897.00,46020132.00,428703029.00,50.00,70337079.00,2.50,70761879.00,2.50,21887262.00,2.60,24300026.00,2.80
