region,district_id,name,year,uganda_anc4_coverage_value,uganda_dpt3_coverage_value,uganda_health_funding_value,uganda_health_posts_value,uganda_leaving_exam_perf_rate_value,uganda_overall_health_value,uganda_poverty_headcount_value,uganda_primary_enrol_value,uganda_primary_pupil_classroom_ratio_value,uganda_primary_pupil_stance_ratio_value,uganda_primary_sit_write_value,uganda_secondary_enrol_value,uganda_total_pop_value,educ.per.cap.ave,School.attendance,health.per.cap.ave,Child.mortality,MPI.of.the.region,need.vs.resources,MPI.pop.2016,Country.x,Country.y,Health.Gov.Z,Educ.Gov.Z,MPI.Z,School.Attend.Z,Child.Mortality.Z,National.Pov.Z,Exam.Score.Z,Health.Outcome.Index.z,Primary.Enroll.z,Secondary.Enroll.z,Antenatal.Coverage.z,Tetanus.Vaccine.Coverage.z,Pupil.classroom.ratio.z,Pupil.sit.write.z,Pupil.toilet.z,pop.z,SubRegion,health_edu.per.cap.ave
ABIM,d314,Abim,2014,67,143.8,15.49260684,73,66,81.3,74,181,74,57,30.3,10,107966,10.1916539024776,0.443042962903362,6.43064610524074,0.0680919208729428,0.285164864379245,,105627.703378655,Uganda,Uganda,2.35245000049129,-0.315252026565972,1.1731017924571,2.23610770677611,-0.0602706499895394,1.57614543886049,1.17084305586471,1.17542257589909,2.07073105107738,-1.13027127113636,2.87595551453845,1.98819678021618,0.401379775758823,-3.21809376907126,0.0176334062214721,-0.798053144006302,Karamoja,16.6223000077183
ADJUMANI,d301,Adjumani,2014,14.6,33.4,10.60097367,107,58,65,68.16,34,61,66,75.9,13,225251,9.65298058082584,0.148990250649323,8.1612755426817,0.0339542523044885,0.138750659073436,,291599.588206367,Uganda,Uganda,1.24002399346705,-0.488493783089001,-0.148539242172179,0.0466002469652718,-0.962931984814694,1.29098292906859,0.28405068219203,-0.97085813480443,-1.89674433876761,-0.924544755913276,-1.41171315654583,-2.39962615301548,-0.167664969620774,0.822979353645353,0.511368780422695,-0.333012363829834,West Nile,17.8142561235075
AGAGO,d322,Agago,2014,40.7,105.9,6.844096678,75,52,73.9,68.4,110,78,57,57.7,26,227792,11.7051640022457,0.268721701898024,3.76178032829556,0.0722057317138714,0.229540180934685,,411868.516534654,Uganda,Uganda,0.38565746068557,0.171505229938145,0.670992970262933,0.938116953862803,0.048505905077324,1.30270193632031,-0.38104359806248,0.20103746797234,0.154467427410753,-0.0330631899465675,0.723938605196532,0.481869885565093,0.576470466644852,-0.789905094456451,0.0176334062214721,-0.322937174142931,Acholi,15.4669443305413
ALEBTONG,d323,Alebtong,2014,24,120.3,3.936154262,75,47,71,61.62,123,99,77,52.8,33,227541,9.56131735834381,0.180643937303031,3.19401647760874,0.0377334795777771,0.183706979950019,,219064.177965693,Uganda,Uganda,-0.275649439906752,-0.517973426934467,0.257269185448304,0.282292625136344,-0.863002420841287,0.971639981459169,-0.935288831607905,-0.180816155404361,0.505332597941263,0.446965345573968,-0.642551219366586,1.05419461598661,1.49569659379651,-1.22414321509924,1.11482312666863,-0.323932401459504,Lango,12.7553338359526
AMOLATAR,d315,Amolatar,2014,24.7,110,5.514173509,90,45,78.2,56.54,131,66,54,63.8,7,147166,10.282847831206,0.143211313720499,3.70574035124401,0.0471606455728056,0.166343411384497,,150593.505012848,Uganda,Uganda,0.0832142747138608,-0.285923311439149,0.100532995296115,0.0035704601680488,-0.613731202344715,0.723587661297723,-1.15698692502608,0.767234219875723,0.721249625960037,-1.33599778635945,-0.585273202768132,0.644823454643443,0.0511983939867633,-0.249322944268484,-0.146945051845602,-0.642623220461794,Lango,13.98858818245
AMUDAT,d324,Amudat,2014,8.9,41.6,5.506212856,46,54,35.8,85.5,19,59,27,71.5,29,105767,5.04519343976663,0.652088685215371,2.00204293146008,0.0827958428239357,0.579088067449111,,65409.2689325577,Uganda,Uganda,0.0814039105425639,-1.97039590431078,3.82626625416658,3.79265573156788,0.328527483334452,2.1376812030055,-0.15934550464431,-4.8157291012181,-2.30158876630281,0.172663325276519,-1.87811986313324,-2.07371901485878,-0.255210315063789,0.433051245313048,-1.62815117444927,-0.80677228691126,Karamoja,7.04723637122671
AMURIA,d216,Amuria,2014,11.9,53.7,4.431763867,70,53,62.4,46,65,81,77,52.9,10,270928,9.94239775519696,0.153877549331728,3.67772803446489,0.0589258461686272,0.14300531089545,,402002.92705035,Uganda,Uganda,-0.162940862878886,-0.395414847042492,-0.110133662438374,0.0829909227778614,-0.302638145330163,0.208927926159604,-0.270194551353395,-1.31320965921113,-1.06006585519486,-1.13027127113636,-1.63264264913986,-1.59280726221292,0.707788484809375,-1.21528121263715,1.11482312666863,-0.151900817458853,Teso,13.6201257896619
AMURU,d316,Amuru,2014,33.3,90.8,7.090999579,75,52,73.9,76.45,93,72,58,47.7,18,186696,9.11680813945499,0.204384418784566,4.0741783899706,0.085234280243993,0.253024984647626,,189173.330171532,Uganda,Uganda,0.441806644145729,-0.660931236010377,0.882983877923895,0.459063520751872,0.393004152913185,1.69577697122182,-0.38104359806248,0.20103746797234,-0.304356257129144,-0.581667230541465,0.118428144012875,-0.118276185918585,0.313834430315808,-1.67610534066623,0.0724928922438303,-0.485884830724183,Acholi,13.1909865294256
APAC,d302,Apac,2014,26.2,87.6,5.702769585,120,52,77.1,50.94,125,89,72,49.7,46,368626,11.9632275042859,0.180701024985526,5.37856004765706,0.0886306312274488,0.1749917022846,,407972.612291428,Uganda,Uganda,0.126103668189194,0.254500567911892,0.178598754756503,0.282717698266015,0.482809779390382,0.450144158757546,-0.38104359806248,0.622393190319042,0.559311854945956,1.33844691154068,-0.462534595771445,-0.245459459345589,1.05796986658143,-1.49886529142428,0.840525696556844,0.235476546583272,Lango,17.341787551943
ARUA,d303,Arua,2014,39.2,102,3.329906915,54,54,71.4,52.27,137,103,81,55.5,35,782077,11.4030761516241,0.207189226392257,6.2581606738912,0.0773332907433801,0.176539532517525,,867546.370782495,Uganda,Uganda,-0.413518591589736,0.0743513005297289,0.192570595440955,0.479948032012793,0.184087784920405,0.515086990610838,-0.15934550464431,-0.128146690111022,0.883187396974119,0.584116355722692,0.601199998199845,0.326865271075931,1.67078728468254,-0.984869148622603,1.33426107075807,1.87483004962919,West Nile,17.6612368255153
BUDAKA,d217,Budaka,2014,37.4,104.2,4.265688294,82,51,77.6,43.61,154,83,61,60.3,17,207597,11.4657501912926,0.0970880091156363,3.30491799815858,0.0524622386288014,0.192672247040802,,247301.895410423,Uganda,Uganda,-0.20070877803444,0.0945077855163458,0.338196202392063,-0.339862248645835,-0.473547549936562,0.0922261456112071,-0.491892644771565,0.688230021935715,1.34201108151402,-0.650242735615827,0.45391366980382,0.414303771556997,0.795333830252389,-0.559493030441908,0.237071350310905,-0.403011340111842,Bukedi,14.7706681894512
BUDUDA,d218,Bududa,2014,16.8,137,4.847692431,60,49,71.9,32.82,109,70,74,72.7,14,210173,9.21084924690664,0.0334440431404155,4.48200186921057,0.053499067772194,0.142016083698163,,112196.473095101,Uganda,Uganda,-0.0683528724106955,-0.630686844863739,-0.119063146116376,-0.813753263649656,-0.446131923216662,-0.434640888747455,-0.713590738189735,-0.0623098584943496,0.127477798908406,-0.855969250838914,-1.23169653295068,1.71793232418379,0.226289084872793,0.539395274858222,0.95024466860156,-0.392797373707489,Bugisu,13.6928511161172
BUGIRI,d201,Bugiri,2014,21.2,111,4.210866894,51,39,68.4,50.89,93,71,55,66.1,33,382913,9.59512174646364,0.0706910577087192,3.23321942207632,0.0610837958808063,0.102876293832783,,233487.433601689,Uganda,Uganda,-0.213175933477635,-0.50710165857195,-0.472367337228226,-0.536413137697923,-0.245578075051048,0.447702698913437,-1.82208120528059,-0.523167679811057,-0.304356257129144,0.446965345573968,-0.871663285760402,0.684568227589382,0.2700617575943,-0.0454968876402347,-0.0920855658232441,0.292125202646546,Busoga,12.82834116854
BUHWEJU,d420,Buhweju,2014,21.3,98.8,3.384602049,36,63,67.5,20.59,97,39,38,74.7,36,120720,9.49466103200019,0.0652827343271879,4.45871456208731,0.0454041114218733,0.162104933391577,,151637.812891135,Uganda,Uganda,-0.401080150806313,-0.539410647964333,0.0622734122992599,-0.576683347410194,-0.660177123458721,-1.03182196661645,0.838295915737456,-0.641673976721068,-0.196397743119756,0.652691860797054,-0.863480711960623,0.199681997648927,-1.13066376949394,0.716635324100179,-1.02469682820333,-0.747482908167357,Ankole,13.9533755940875
BUIKWE,d117,Buikwe,2014,28.7,83.7,4.016906889,71,55,72.4,18.79,72,45,48,80.5,24,422771,8.8924228892591,0.0674490577211951,3.25163443377897,0.0186016384919005,0.0241385283460977,,441243.3766782,Uganda,Uganda,-0.257285159657518,-0.733095372081935,-1.18311163710588,-0.560552969985062,-1.36888269727582,-1.11971452100436,-0.0484964579352247,0.00352697312232281,-0.871138455678428,-0.170214200095292,-0.257970250776966,-0.400464073834751,-0.868027733164893,1.23063146690185,-0.476101967979751,0.450164128479122,Buganda,12.1440573230381
BUKEDEA,d219,Bukedea,2014,19.7,92,3.447254683,80,60,72.6,43.77,130,101,81,55.8,32,203600,12.9282365515658,0.0702079078585654,2.61276165969853,0.0565654813842995,0.113510949886654,,341724.449072083,Uganda,Uganda,-0.386832062888025,0.564855389083939,-0.376371202149611,-0.540010656635971,-0.365050434049386,0.100038817112355,0.505748775610201,0.0298617057689903,0.694259997457691,0.378389840499606,-0.994401892757089,-0.0705824583834579,1.58324193923952,-0.95828314123631,1.33426107075807,-0.418859641244684,Teso,15.5409982112643
BUKOMANSIMBI,d118,Bukomansimbi,2014,22.5,108.8,3.823025261,70,54,71.4,22.3,116,66,62,73.8,45,151413,13.3148180053664,0.105626962557214,2.65095288525904,0.0633900534896939,0.0841213777611941,,144233.364856618,Uganda,Uganda,-0.30137656180806,0.689183153990288,-0.641662841236651,-0.276281463704257,-0.184596477332542,-0.948324039947931,-0.15934550464431,-0.128146690111022,0.316405198424834,1.26987140646631,-0.765289826363273,0.597129727108316,0.0511983939867633,0.636877301941298,0.291930836333263,-0.625783657061449,Buganda,15.9657708906254
BUKWO,d220,Bukwo,2014,36.5,117.5,11.46789021,55,34,76.2,36.6,203,101,97,73.5,29,89356,18.4336645973291,0.166666666666667,8.16761056848981,0.0952380952380952,0.153037603930461,,32013.3243148671,Uganda,Uganda,1.43717297653674,2.33544618451184,-0.0195748937806311,0.178218297470646,0.657523007732246,-0.250066524532836,-2.37632643882601,0.503886893409033,2.66450287812901,0.172663325276519,0.380270505605808,0.942909251737985,1.58324193923952,0.610291294555005,2.2120128471158,-0.871842707199243,Sebei,26.6012751658189
BULAMBULI,d225,Bulambuli,2014,25.2,81.9,3.996130895,64,38,69,34.68,150,63,72,63.2,26,174508,8.76203956446879,0.0871646178482614,4.63314639189274,0.138326813514573,0.176768478447058,,145574.543468624,Uganda,Uganda,-0.262009912157179,-0.775027718274101,0.194637227804599,-0.413751515097383,1.79686619039153,-0.343818582546611,-1.93293025198967,-0.44416348187105,1.23405256750463,-0.0330631899465675,-0.544360333769236,-0.472004665137441,-0.0801196241777589,-0.302494959041071,0.840525696556844,-0.5342108487895,Bugisu,13.3951859563615
BULIISA,d416,Buliisa,2014,22.2,116.3,4.594810804,73,56,75.8,33.8,118,90,51,56.9,84,113161,6.77220888579984,0.168201384340044,8.36773822455248,0.0883518691972506,0.314270712848004,,82839.4049600614,Uganda,Uganda,-0.125861702038123,-1.41497357803746,1.43583233560124,0.189645758107906,0.475438810111308,-0.386788275802924,0.0623525887738603,0.451217428115694,0.370384455429528,3.94431610436644,-0.78983754776261,0.895215524202858,1.10174253930294,-0.860801114153234,-0.311523509912677,-0.777454714087584,Bunyoro,15.1399471103523
BUNDIBUGYO,d401,Bundibugyo,2014,18.7,96.8,8.24914118,95,66,74.5,21.8,72,55,54,69.9,9,224387,12.8047549914243,0.118981561918413,7.124129470295,0.195187670207015,0.218304496182701,,177629.011023541,Uganda,Uganda,0.705184291650128,0.525142706986519,0.569571513312326,-0.176843527220036,3.30036947440696,-0.972738638389018,1.17084305586471,0.280041665912346,-0.871138455678428,-1.19884677621073,-1.07622763075488,0.120192451757049,-0.430301005949818,0.291259205919484,-0.146945051845602,-0.336438166226325,Rwenzori,19.9288844617193
BUSHENYI,d402,Bushenyi,2014,45.9,91.5,8.818088739,78,73,79.1,15.12,98,37,30,79.4,23,234440,16.7083348536518,0.0408491133777782,4.33204278213731,0.0458996620044932,0.0981091031196645,,264784.057505023,Uganda,Uganda,0.834570948267423,1.78056599393631,-0.51539946551934,-0.758615338204773,-0.647073875078297,-1.29891767356194,1.94678638282831,0.885740516785732,-0.169408114617409,-0.238789705169654,1.14943244278505,-0.0904548448564273,-1.21820911493695,1.13314943981878,-1.4635727163822,-0.296577527925485,Ankole,21.0403776357891
BUSIA,d202,Busia,2014,27.3,91.6,3.636236113,71,60,77.9,50.41,135,68,60,67.2,6,323662,11.7396918985324,0.087860662122052,3.79732673016214,0.0793972901249516,0.102847898233138,,447730.276636824,Uganda,Uganda,-0.343855034507005,0.182609684458764,-0.47262365654926,-0.408568790822742,0.23866363954011,0.424264684409993,0.505748775610201,0.72773212090572,0.829208139969425,-1.40457329143381,-0.372526283973874,-0.0864803675618337,0.138743739429778,0.0519851394428421,0.182211864288547,0.0571920801992097,Bukedi,15.5370186286945
BUTALEJA,d221,Butaleja,2014,27.4,83.4,4.741634544,53,49,74.7,37.6,168,133,111,51.1,48,244153,13.3837921004437,0.0706200718342127,4.19007527184422,0.0757393809617552,0.104684166720741,,324961.963580722,Uganda,Uganda,-0.0924719237885479,0.711365788446989,-0.456048162533882,-0.536941696338249,0.141941944521629,-0.201237327650661,-0.713590738189735,0.306376398559016,1.71986588054687,1.4755979216894,-0.364343710174095,-0.412387505718532,2.98396746632776,-1.37479725695491,2.98004565142881,-0.258065006308449,Bukedi,17.5738673722879
BUTAMBALA,d119,Butambala,2014,31.7,87.3,6.894421262,56,54,77.2,26.27,108,38,42,71.5,27,100840,21.3299346507689,0,8.67952495685616,0.054421768707483,0.00663303870300955,,105102.049803967,Uganda,Uganda,0.397101977085044,3.26691037858851,-1.341128910056,-1.06277658120679,-0.421734051516014,-0.754472128325698,-0.15934550464431,0.635560556642378,0.100488170406059,0.0355123151277947,-0.0124930367835916,-0.257382891229371,-1.17443644221544,0.433051245313048,-0.8052588841139,-0.826308083679214,Buganda,30.0094596076251
BUVUMA,d120,Buvuma,2014,10.3,98,6.817665264,63,50,66.3,97.12,172,77,84,44.5,31,89890,5.99086980877543,0.0699261891862726,4.92823582202048,0.0789384848276207,0.121581411533894,,81037.3024019892,Uganda,Uganda,0.379646586338664,-1.66625863096848,-0.303521349506447,-0.54210832521323,0.22653200256897,2.70507647077636,-0.60274169148065,-0.799682372601082,1.82782439455626,0.309814335425243,-1.76356382993633,0.167886179292176,0.532697793923345,-1.95968941945336,1.49883952882514,-0.869725370995855,Buganda,10.9191056307959
BUYENDE,d226,Buyende,2014,28.7,118.2,1.731393978,81,41,68.9,40.84,121,66,93,56.5,28,323067,6.3592142029205,0.0605041625074962,1.33765489133959,0.121648323199917,0.22225772622389,,530896.506438873,Uganda,Uganda,-0.777042858819999,-1.54779605396275,0.605256240971448,-0.612264446343972,1.35585691935397,-0.043030729752416,-1.60038311186242,-0.457330848194384,0.451353340936569,0.104087820202157,-0.257970250776966,0.970730592800142,0.0511983939867633,-0.896249124001625,1.99257490302636,0.054832876002552,Busoga,7.69686909426009
DOKOLO,d317,Dokolo,2014,34.9,91.8,5.573357153,83,49,77.6,56.46,99,64,51,78.2,15,183093,9.97379113431128,0.123133764738899,4.33422338816574,0.016407295656127,0.106152179352628,,212286.705231335,Uganda,Uganda,0.0966734656400814,-0.385318478942655,-0.442796813529846,-0.145926352607317,-1.42690506717584,0.719681325547149,-0.713590738189735,0.688230021935715,-0.142418486115062,-0.787393745764552,0.249349324809341,-0.0785314129726458,-0.0363469514562515,1.0268054102736,-0.311523509912677,-0.500170902523439,Lango,14.308014522477
GOMBA,d121,Gomba,2014,19.4,96.9,2.598752389,58,51,68.7,26.27,97,53,47,68.8,48,159922,11.691879218965,0.129881750157786,4.19613662955262,0.107990956104716,0.212544356702068,,110103.532112392,Uganda,Uganda,-0.57979338808595,0.1672327347206,0.517576307745406,-0.0956810605299444,0.994731578072076,-0.754472128325698,-0.491892644771565,-0.483665580841054,-0.196397743119756,1.4755979216894,-1.01894961415643,0.124166929051643,-0.517846351392833,0.193777178836407,-0.530961454002109,-0.592045054524709,Buganda,15.8880158485176
GULU,d304,Gulu,2014,49.7,117.7,5.351242171,85,61,86.3,68.86,119,59,41,79.2,25,436345,15.7745165000096,0.11900234820707,8.6536212774874,0.0503902935400694,0.101532328702379,,696957.49596433,Uganda,Uganda,0.0461614027074228,1.48024235555312,-0.484498943323023,-0.176688753153416,-0.528333503339587,1.32516336688611,0.616597822319286,1.83379089206582,0.397374083931875,-0.10163869502093,1.46037024717665,0.950858206327173,-0.255210315063789,1.11542543489458,-0.860118370136258,0.503985704555478,Acholi,24.428137777497
HOIMA,d403,Hoima,2014,37.1,81.8,3.501637089,60,54,74.6,35.2,75,46,40,76.3,30,572986,7.26735411057133,0.197482840408379,6.05791323486124,0.0703380370595825,0.123822728217103,,582241.835979211,Uganda,Uganda,-0.374464740839027,-1.25573081433353,-0.283289596078279,0.407674580234038,-0.000879299606633774,-0.31842740016788,-0.15934550464431,0.29320903223568,-0.790169570171387,0.241238830350881,0.429365948404483,-0.475979142432035,-0.824255060443385,0.858427363493743,-0.914977856158616,1.04577397453112,Bunyoro,13.3252673454326
IBANDA,d417,Ibanda,2014,27.2,77.5,4.631458243,46,61,68.4,17.13,103,39,36,74.3,52,249625,12.3123756283723,0.100648976200033,3.7811781665314,0.045696163849346,0.104438531971565,,254733.021524742,Uganda,Uganda,-0.117527560286763,0.366789467087322,-0.458265440313479,-0.313347397156584,-0.652454732180219,-1.20077098782877,0.616597822319286,-0.523167679811057,-0.0344599721056749,1.74989994198685,-0.380708857773653,-0.646881666099572,-1.13066376949394,0.681187314251787,-1.13441580024805,-0.236368257797338,Ankole,16.0935537949037
IGANGA,d203,Iganga,2014,31.5,92.8,0,87,46,77.5,34.41,107,59,59,74.6,36,504197,12.5723675516136,0.115571382888792,3.70053235305068,0.0778593593697577,0.0887607907227496,,569720.458781144,Uganda,Uganda,-1.1707861389467,0.450405001129384,-0.59978412780324,-0.202235615486833,0.197997985247748,-0.357002465704798,-1.04613787831699,0.675062655612381,0.0734985419037126,0.652691860797054,-0.0288581843831498,-0.0387866400267069,-0.255210315063789,0.70777332163808,0.127352378266188,0.773022214053996,Busoga,16.2728999046643
ISINGIRO,d418,Isingiro,2014,39.3,96.1,3.09948373,51,62,77.3,18.98,82,46,49,63.6,46,486360,7.3817337604823,0.22322344010723,2.42348688902441,0.0485751592288588,0.196454889720814,,531018.066914744,Uganda,Uganda,-0.465920056439431,-1.21894538118769,0.372341084542003,0.599338294636199,-0.576328918051602,-1.11043697359675,0.727446869028371,0.648727922965712,-0.601242170654959,1.33844691154068,0.609382571999623,0.0923711106948915,-0.824255060443385,-0.26704694919268,-0.421242481957393,0.702297633792175,Ankole,9.80522064950671
JINJA,d204,Jinja,2014,36.7,88.7,0,84,56,79.1,28.48,80,53,40,86.5,21,471242,13.3020761197846,0.0209771974324683,10.9732622840689,0.0305698537872092,0.0224506048561098,,602570.640895211,Uganda,Uganda,-1.1707861389467,0.685085259123623,-1.19834806135189,-0.906581013710601,-1.05242156659623,-0.646559603216092,0.0623525887738603,0.885740516785732,-0.655221427659653,-0.375940715318379,0.396635653205366,-0.201740209105056,-0.517846351392833,1.76235161462772,-0.914977856158616,0.64235402195172,Busoga,24.2753384038535
