district_id,name,year,uganda_health_funding_value,uganda_leaving_exam_perf_rate_value,uganda_overall_health_value,uganda_poverty_headcount_value,uganda_primary_enrol_value,uganda_secondary_enrol_value,uganda_total_pop_value
d101,Kalangala,2014,37.36715438,65,63.9,7.74,62,21,54293
d102,Kampala,2014,,75,72.2,4,71,36,1507080
d103,Kiboga,2014,5.413982437,50,76.6,34.67,71,20,148218
d104,Luwero,2014,4.289605004,55,79.5,18.64,105,64,456958
d105,Masaka,2014,,64,85.8,20.06,110,6,297004
d106,Mpigi,2014,4.312189308,57,77.9,19.53,96,17,250548
d107,Mubende,2014,2.527301233,52,70.5,24.55,70,9,684337
d108,Mukono,2014,,65,75.8,16.29,91,14,596804
d109,Nakasongola,2014,,52,75.4,24.35,104,23,181799
d110,Rakai,2014,5.750475625,56,77.5,24.25,97,23,516309
d111,Sembabule,2014,3.3617172,55,82.5,31.72,139,16,252597
d112,Kayunga,2014,4.084526104,46,75.9,35.89,100,20,368062
d113,Wakiso,2014,1.845462264,70,70.3,13.06,75,17,1997418
d114,Lyantonde,2014,9.483458135,70,85.7,26.53,133,41,93753
d115,Mityana,2014,5.771572925,54,81.6,16.57,84,22,328964
d116,Nakaseke,2014,7.339622669,53,71.8,24.81,118,33,197369
d117,Buikwe,2014,4.016906889,55,72.4,18.79,72,24,422771
d118,Bukomansimbi,2014,3.823025261,54,71.4,22.3,116,45,151413
d119,Butambala,2014,6.894421262,54,77.2,26.27,108,27,100840
d120,Buvuma,2014,6.817665264,50,66.3,97.12,172,31,89890
d121,Gomba,2014,2.598752389,51,68.7,26.27,97,48,159922
d122,Kalungu,2014,5.260430811,58,75.3,19.8,143,47,183232
d123,Kyankwanzi,2014,2.327900009,46,68.8,34.67,91,21,214693
d124,Lwengo,2014,2.714241832,57,71.5,29.63,120,29,274953
d201,Bugiri,2014,4.210866894,39,68.4,50.89,93,33,382913
d202,Busia,2014,3.636236113,60,77.9,50.41,135,6,323662
d203,Iganga,2014,,46,77.5,34.41,107,36,504197
d204,Jinja,2014,,56,79.1,28.48,80,21,471242
d205,Kamuli,2014,4.243695914,48,74.2,36.42,92,28,486319
d206,Kapchorwa,2014,11.18718257,41,69.4,35.54,106,37,105186
d207,Katakwi,2014,9.374135677,55,66.7,42.37,109,23,166231
d208,Kumi,2014,6.458968041,52,76.8,44.6,108,15,239268
d209,Mbale,2014,,54,79.7,34.89,116,4,488960
d210,Pallisa,2014,4.557507542,45,75.3,47.92,126,19,386890
d211,Soroti,2014,4.364898016,55,66.6,46.47,93,16,296833
d212,Tororo,2014,4.387522194,48,72.1,34.67,138,7,517082
d213,Kaberamaido,2014,5.960052308,56,73.5,58.85,130,29,215026
d214,Mayuge,2014,3.099976894,44,67.6,44.95,107,4,473239
d215,Sironko,2014,5.581698435,46,66.9,32.24,123,19,242422
d216,Amuria,2014,4.431763867,53,62.4,46,65,10,270928
d217,Budaka,2014,4.265688294,51,77.6,43.61,154,17,207597
d218,Bududa,2014,4.847692431,49,71.9,32.82,109,14,210173
d219,Bukedea,2014,3.447254683,60,72.6,43.77,130,32,203600
d220,Bukwo,2014,11.46789021,34,76.2,36.6,203,29,89356
d221,Butaleja,2014,4.741634544,49,74.7,37.6,168,48,244153
d222,Kaliro,2014,3.484293032,44,71.9,42.18,113,27,236199
d223,Manafwa,2014,4.186227089,44,68.3,33.6,124,1,353825
d224,Namutumba,2014,3.03939856,48,73.4,37.56,152,13,252562
d225,Bulambuli,2014,3.996130895,38,69,34.68,150,26,174508
d226,Buyende,2014,1.731393978,41,68.9,40.84,121,28,323067
d227,Kibuku,2014,2.696635717,53,70.4,48.51,131,24,202033
d228,Kween,2014,7.113613663,30,58.4,37.9,103,44,93667
d229,Luuka,2014,2.605271726,39,62.5,36.52,111,33,238020
d230,Namayingo,2014,2.789780701,50,65.6,50.89,89,8,215442
d231,Ngora,2014,6.387716873,50,73.9,44.3,102,16,141919
d232,Serere,2014,3.010677416,43,58.4,49.95,125,11,285903
d301,Adjumani,2014,10.60097367,58,65,68.16,34,13,225251
d302,Apac,2014,5.702769585,52,77.1,50.94,125,46,368626
d303,Arua,2014,3.329906915,54,71.4,52.27,137,35,782077
d304,Gulu,2014,5.351242171,61,86.3,68.86,119,25,436345
d305,Kitgum,2014,9.630071773,50,72,74.39,91,48,204048
d306,Kotido,2014,4.879877148,60,62.9,90,30,29,181050
d307,Lira,2014,,62,79.6,54.67,121,39,408043
d308,Moroto,2014,8.964291153,62,58.4,86.91,29,36,103432
d309,Moyo,2014,12.51740703,63,57.6,62.18,26,10,139012
d310,Nebbi,2014,4.760670704,52,77.7,65.05,126,22,396794
d311,Nakapiripirit,2014,6.849425779,61,65,85.48,31,20,156690
d312,Pader,2014,7.28777851,50,63.2,67.89,125,37,178004
d313,Yumbe,2014,4.170847249,49,63.8,62.93,49,9,484822
d314,Abim,2014,15.49260684,66,81.3,74,181,10,107966
d315,Amolatar,2014,5.514173509,45,78.2,56.54,131,7,147166
d316,Amuru,2014,7.090999579,52,73.9,76.45,93,18,186696
d317,Dokolo,2014,5.573357153,49,77.6,56.46,99,15,183093
d318,Kaabong,2014,11.95681721,59,50.8,95,42,37,167879
d319,Koboko,2014,3.949849884,57,71.3,61.16,93,34,206495
d320,Maracha,2014,6.631197945,57,71.8,54.05,160,2,186134
d321,Oyam,2014,3.628553494,55,75.3,53.22,143,12,383644
d322,Agago,2014,6.844096678,52,73.9,68.4,110,26,227792
d323,Alebtong,2014,3.936154262,47,71,61.62,123,33,227541
d324,Amudat,2014,5.506212856,54,35.8,85.5,19,29,105767
d325,Kole,2014,2.378173426,54,67.8,52.53,104,38,239327
d326,Lamwo,2014,13.27585893,53,72.4,67.11,100,54,134379
d327,Napak,2014,8.153780561,62,68.2,86.91,37,23,142224
d328,Nwoya,2014,8.683659423,50,88.1,65.3,279,21,133506
d329,Otuke,2014,8.868252912,52,69.2,62.15,162,43,104254
d330,Zombo,2014,3.565472289,54,77.5,52.94,123,11,240082
d401,Bundibugyo,2014,8.24914118,66,74.5,21.8,72,9,224387
d402,Bushenyi,2014,8.818088739,73,79.1,15.12,98,23,234440
d403,Hoima,2014,3.501637089,54,74.6,35.2,75,30,572986
d404,Kabale,2014,5.022774497,59,78,35.02,117,29,528231
d405,Kabarole,2014,4.772034279,77,77,28.82,90,37,469236
d406,Kasese,2014,5.911744584,58,71.2,48.37,96,16,694992
d407,Kibaale,2014,2.232412841,51,70.7,35.83,99,20,785088
d408,Kisoro,2014,8.365326303,56,78.8,44.3,115,44,281705
d409,Masindi,2014,,67,69.1,42.3,71,8,291113
d410,Mbarara,2014,,75,79.3,13.2,101,36,472629
d411,Ntungamo,2014,,68,75,29.9,67,34,483841
d412,Rukungiri,2014,,70,84,28.06,84,18,314694
d413,Kamwenge,2014,2.844528531,61,83.8,37.67,95,43,414454
d414,Kanungu,2014,8.431598186,61,75.8,33.21,101,34,252144
d415,Kyenjojo,2014,3.525007593,66,76,35.5,80,47,422204
d416,Buliisa,2014,4.594810804,56,75.8,33.8,118,84,113161
d417,Ibanda,2014,4.631458243,61,68.4,17.13,103,52,249625
d418,Isingiro,2014,3.09948373,62,77.3,18.98,82,46,486360
d419,Kiruhura,2014,4.204364157,68,76.7,17.91,85,26,328077
d420,Buhweju,2014,3.384602049,63,67.5,20.59,97,36,120720
d421,Kiryandongo,2014,3.515408856,61,63.8,24.9,80,51,266197
d422,Kyegegwa,2014,2.775878832,57,83.3,18.81,120,52,281637
d423,Mitooma,2014,2.926841721,71,74.8,18.1,96,32,183444
d424,Ntoroko,2014,10.22914568,68,56.1,27.74,67,19,67005
d425,Rubirizi,2014,3.167936559,74,70.2,20.5,82,20,129149
d426,Sheema,2014,,69,78.6,13,88,6,207343
